,问题,来源,mc,问答对
1675,2024年上海专科自主招生中，非本市户籍往届毕业生需提供哪些证明材料？,558,"Option A: 身份证、毕业证书、学籍证明  
Option B: 户籍证明、毕业证书、父母工作证明  
Option C: 市教委锁定名单、身份证、居住证  
Option D: 持证人上海市居住证、持证人与考生的身份证、毕业证书  
Answer: D",D
1676,驻外使领馆工作人员随任子女报考2024年专科自主招生需满足哪些条件？,558,"Option A: 身份证、户籍证明  
Option B: 身份证、户籍证明、学籍所在学校证明  
Option C: 身份证、毕业证书、学籍所在学校证明  
Option D: 户籍证明、毕业证书  
Answer: B",B
1677,哪些考生报考2024年上海专科自主招生时需要参照市教委或考试院锁定的名单？,558,"Option A: 梅山、大屯、鲁中三地上海石油局基地单位职工子女，本市初职课程、西藏中职班应届生  
Option B: 持积分达标《上海市居住证》人员子女  
Option C: 父母属上海市高中阶段户籍的考生  
Option D: 父母为驻沪机构工作人员的考生  
Answer: A",D
1678,"""本市户籍应届生报考专科自主招生需满足哪些条件和材料？""",559,"Option A: 高中毕业，身份证和毕业证书  
Option B: 高中毕业或同等学力，身份证  
Option C: 高中毕业或同等学力，身份证和户籍证明  
Option D: 无需材料，只需身份证明  
Answer: C",C
1679,"""作为本市高中应届毕业生，参加专科自主招生需要准备什么证明和资格文件？""",559,"Option A: 学生证，成绩单
Option B: 身份证，户籍证明
Option C: 毕业证书，户口本
Option D: 准考证，学历证明
Answer: B",B
1680,"""本市户籍考生报考专科层次自主招生时，需符合哪些基本要求和提交的证件？""",559,"Option A: 高中阶段学校毕业或具有同等学力，并提交身份证和户籍证明  
Option B: 高中阶段学校毕业，并提交身份证和毕业证书  
Option C: 具有本市学籍，并提交工作证明和学历证书  
Option D: 通过入学考试，并提交户口本和成绩单  
Answer: A",答案：A
1681,本市户籍的往届高中毕业生报考专科自主招生，需要提交哪些证明材料？,560,"Option A: 身份证、户籍证明、毕业证书  
Option B: 身份证、毕业证书  
Option C: 户籍证明、毕业证书、学业水平测试成绩  
Option D: 身份证、户籍证明、毕业证书、体检报告  
Answer: A",A
1682,具备什么条件才能参加本市专科层次自主招生考试（针对户籍往届生）？,560,"Option A: 高中毕业或同等学力  
Option B: 高中毕业或同等学力且提供身份证、户籍证明、毕业证书  
Option C: 年满18周岁且提供身份证  
Option D: 仅需提供毕业证书  
Answer: B",B
1683,作为本市户籍的往届高中毕业生，报考专科自主招生需满足哪些基本要求和提供哪些文件？,560,"Option A: 高中毕业或同等学力；身份证、毕业证书  
Option B: 高中毕业或同等学力；身份证、户籍证明、毕业证书  
Option C: 高中毕业；户籍证明、毕业证书  
Option D: 具备高中学历；身份证、成绩单、户籍证明  
Answer: B",B
1684,"""非本市应届毕业生报考专科自主招生需满足哪些基本条件？""",561,"Option A: 高中阶段学校毕业或具有同等学力  
Option B: 提供身份证、户籍证明、学籍所在学校证明  
Option C: 本市高中阶段学校毕业证书  
Option D: 高中阶段学校毕业或具有同等学力，并提供身份证、户籍证明、学籍所在学校证明  
Answer: D",答案：D
1685,"""户籍在本市的往届生报考专科自主招生需要提交哪些证明材料？""",561,"Option A: 毕业证和成绩单  
Option B: 身份证，户籍证明，学籍所在学校证明  
Option C: 报名表和户口本  
Option D: 学校推荐信和体检报告  
Answer: B",A
1686,"""本市户籍的非应届高中毕业生参加专科自主招生考试，资格要求是什么？""",561,"Option A: 高中毕业或同等学力，需提供身份证、户籍证明、学籍学校证明  
Option B: 仅需高中毕业证书，无需其他证明  
Option C: 需本市居住证和高中成绩单  
Option D: 必须通过统一高考方可报考  
Answer: A",A
1687,非本市高中往届毕业生报考专科自主招生需要提交哪些证明材料？,562,"Option A: 身份证，学生证，毕业证书  
Option B: 身份证，毕业证书，成绩单  
Option C: 身份证，户籍证明，毕业证书  
Option D: 户籍证明，毕业证书，推荐信  
Answer: C",C
1688,户籍在本市但高中在外地就读的往届生，报考专科自主招生需满足什么条件？,562,"Option A: 只需高中毕业证书  
Option B: 具有同等学力即可，无需其他证明  
Option C: 高中毕业或同等学力，并提供身份证、户籍证明和毕业证书  
Option D: 需要额外参加入学考试  
Answer: C",C
1689,专科依法自主招生考试对本市户籍往届生的学历和材料有什么要求？,562,"Option A: 高中学历，需身份证和毕业证书  
Option B: 高中毕业或同等学力，需身份证、户籍证明和毕业证书  
Option C: 同等学力即可，无需毕业证书  
Option D: 仅需户籍证明和身份证  
Answer: B",B
1690,驻外使领馆工作人员随任子女作为本市户籍应届生报考专科自主招生需提供哪些证明材料？,563,"Option A: 回国证明和国外学校证明  
Option B: 回国证明、国外学校证明和户口登记卡  
Option C: 回国证明和身份证  
Option D: 国外学校证明和毕业证书  
Answer: B",B
1691,本市户籍的驻外使领馆随任子女应届生报考专科自主招生需满足哪些条件？,563,"Option A: 高中阶段学校毕业或具有同等学力，并需提供驻外使领馆回国证明、国外学校证明（译文版）及本人常住户口登记卡  
Option B: 仅需高中阶段学校毕业或具有同等学力  
Option C: 需提供驻外使领馆回国证明及国外学校证明（译文版），无需户口登记卡  
Option D: 需提交语言等级证书及高中毕业证明  
Answer: A",A
1692,随任子女为上海户籍的应届毕业生报考专科层次自主招生时，需提交什么身份和学历相关文件？,563,"Option A: 驻外使领馆回国证明和身份证复印件  
Option B: 驻外使领馆回国证明、国外学校证明译文版、常住户口登记卡  
Option C: 国内高中毕业证书原件及翻译件  
Option D: 护照签证页和在校成绩单  
Answer: B",B
1693,驻外使领馆工作人员子女若户籍在本市且为往届生，报考专科自主招生需要提交哪些材料？,564,"Option A: 驻外使领馆出具的回国证明（盖章）、国外学校证明（译文版）、本人户口登记卡  
Option B: 驻外使领馆工作证明、国外毕业证书原件、身份证  
Option C: 本市居住证、高中毕业证书、回国机票凭证  
Option D: 出生公证、父母工作合同、在校成绩单  
Answer: A",答案：A
1694,本市户籍的驻外使领馆随任子女往届毕业生，报考专科层次自主招生需符合哪些条件？,564,"Option A: 高中毕业或同等学力，并提供驻外使领馆的推荐信
Option B: 高中毕业或同等学力，并提供回国证明、国外学校证明及户口卡
Option C: 通过校内选拔考试并提供户籍证明
Option D: 具备大学预科证书并提供父母工作证明
Answer: B",B
1695,作为往届生的本市户籍驻外使领馆随任子女，报考专科自主招生应准备哪些证明文件？,564,"Option A: 回国证明、国外学校证明、身份证复印件  
Option B: 回国证明（加盖使领馆印章）、国外学校证明（译文版）、本人常住户口登记卡  
Option C: 国外学校成绩单、毕业证书、出生证明  
Option D: 驻外工作证明、国内学校推荐信、护照复印件  
Answer: B",B
1696,非沪籍考生持积分达标的上海居住证人员子女，报考专科层次自主招生需满足哪些学历和户籍条件？,565,"Option A: 本市高中毕业，父母居住证未满3年  
Option B: 本市高中毕业且父母一方居住证连续满3年  
Option C: 外省高中毕业，父母居住证达标  
Option D: 本市初中毕业，父母双方居住证达标  
Answer: B",B
1697,父母一方持有上海市居住证需满足何种年限要求，其子女才可报考应届专科自主招生？,565,"Option A: 1年  
Option B: 3年  
Option C: 2年  
Option D: 5年  
Answer: B",B
1698,积分达标的非本市户籍考生报考时需提供哪些身份及居住证明材料？,565,"Option A: 持证人上海市居住证、积分通知单及持证人与考生的身份证  
Option B: 考生本人户口本及居住证  
Option C: 居住证和积分通知单  
Option D: 父母的结婚证明及考生身份证  
Answer: A",A
1699,非沪籍往届毕业生报考上海专科自主招生，需满足哪些户籍和学籍条件？,566,"Option A: 考生本人持有上海市户籍，且在本市高中毕业  
Option B: 考生在本市高中毕业，且父母一方持有有效居住证满3年  
Option C: 考生需在外省高中毕业，父母有上海居住证  
Option D: 考生在本市高中毕业，无需父母居住证  
Answer: B",答案：B
1700,持上海居住证积分达标的非户籍考生，报考专科自主招生需提供哪些证明材料？,566,"Option A: 持证人上海市居住证及积分通知单，持证人与考生的身份证，毕业证书  
Option B: 持证人身份证、户口本、毕业证书及积分通知单  
Option C: 考生身份证、毕业证书、学籍证明及居住证  
Option D: 持证人身份证、考生户口本、居住证、成绩单  
Answer: A",答案：A
1701,父母一方持有上海居住证的非本市户籍考生，报考专科层次自主招生的资格要求是什么？,566,"Option A: 父母一方持有居住证即可，无需其他条件  
Option B: 父母一方连续持有居住证3年且考生本市高中毕业  
Option C: 考生无需本市高中毕业，只需持有居住证  
Option D: 父母一方持有居住证且考生参加外省中招  
Answer: B",B
1702,非本市户籍的海外人才居住证持有者子女，报考上海专科层次自主招生需满足哪些条件？,567,"Option A: 本市高中毕业即可  
Option B: 需要提供其他证明并由外国专家局锁定名单  
Option C: 本市高中毕业且由外国专家局锁定名单，无需其他证明  
Option D: 需要本市户籍和高中毕业证书  
Answer: C",C
1703,持《上海市海外人才居住证》的留学人员子女，应届毕业时报考专科自主招生需提供什么材料？,567,"Option A: 户籍证明  
Option B: 上海市海外人才居住证副本  
Option C: 不需要任何材料  
Option D: 高中毕业证书  
Answer: C",C
1704,非上海户籍考生作为海外人才子女报考专科自主招生，资格审核由哪个部门负责？,567,"Option A: 市教育考试院  
Option B: 市外国专家局  
Option C: 市公安局  
Option D: 市人社局  
Answer: B",B
1705,持上海市海外人才居住证的留学人员子女，非本市户籍往届毕业生报考专科自主招生需要满足哪些学历条件？,568,"Option A: 本市高中阶段学校毕业  
    Option B: 外省高中阶段学校毕业  
    Option C: 无学历要求  
    Option D: 需提供国外高中毕业证书  
    Answer: A",A
1706,非本市户籍考生持海外人才居住证报考专科自主招生，是否需要提交额外证明材料？,568,"Option A: 需要  
Option B: 不需要  
Option C: 视情况而定  
Option D: 由学校决定  
Answer: B",B
1707,哪个部门负责确认持上海海外人才居住证的留学人员子女的报考资格？,568,"Option A: 上海市教育局  
Option B: 上海市人力资源和社会保障局  
Option C: 上海市外国专家局  
Option D: 上海市公安局  
Answer: C",C
1708,持《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的非本地户籍考生，报考专科层次自主招生需满足哪些条件？,569,"Option A: 参加本市中招并具有本市高中阶段完整学习经历，同时提供市人社局出具的证明  
Option B: 仅需具有本市高中阶段完整学习经历  
Option C: 仅需参加本市中招  
Option D: 需提供户籍所在地教育局的推荐信  
Answer: A",答案：A
1709,留学人员的外籍子女申请参加本市专科自主招生考试，需要具备哪些学习经历和文件证明？,569,"Option A: 参加本市中招并具有本市高中阶段完整学习经历，市人社局出具的《优惠政策证明》  
Option B: 具有本市初中阶段完整学习经历，市人社局出具的《优惠政策证明》  
Option C: 参加本市高考且具有完整学习经历，学校出具的推荐信  
Option D: 具有海外高中学习经历，父母工作证明  
Answer: A",答案：A
1710,符合留学人员子女优惠政策的外籍考生报考本市专科招生考试，必须提供哪些材料并满足什么学习要求？,569,"Option A: 提供本市高中毕业证书，并具有三年社保缴纳记录  
Option B: 提供《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》，并具有本市高中阶段完整学习经历  
Option C: 提供父母留学证明，并参加本市中考  
Option D: 提供外国护照复印件，并具有本市初中阶段学习经历  
Answer: B",答案：B
1711,留学人员的持外国护照子女报考往届专科自主招生，需满足哪些2023年的资格条件？,570,"Option A: 需要列入2023年本市高考报名库并持有市人社局证明  
Option B: 仅需列入2023年本市高考报名库  
Option C: 仅需持有市人社局证明  
Option D: 需提供2022年高考报名记录及户籍证明  
Answer: A",答案：A
1712,持有市人社局出具的《优惠政策证明》的非本市户籍考生，报考专科层次自主招生需提供什么材料？,570,"Option A: 高考成绩单  
Option B: 本市户籍证明  
Option C: 市人力资源社会保障局出具的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》  
Option D: 父母留学证明  
Answer: C",C
1713,2023年非本市户籍往届生参加专科自主招生考试，需符合哪些报名库和证明要求？,570,"Option A: 2023年列入本市高考报名库；市教育局出具的《优惠政策证明》
    Option B: 2022年列入本市高考报名库；市人力资源社会保障局出具的《优惠政策证明》
    Option C: 2023年列入本市高考报名库；市人力资源社会保障局出具的《优惠政策证明》
    Option D: 无需列入任何报名库或提交证明
    Answer: C",C
1714,父母一方是上海户籍的非本地考生，报考上海专科自主招生需满足哪些条件和提供什么证明？,571,"Option A: 参加本市中招且具有本市高中阶段完整学习经历，提供父母一方户籍证明和本人《上海市居住证》
Option B: 参加全国高考并完成三年学籍，提供父母双方户籍证明
Option C: 在本市居住满三年，提供本人居住证
Option D: 具有高中毕业证书即可报考，无需其他证明
Answer: A",A
1715,非上海户籍但父母有本市户籍的应届生，报考专科自主招生需要哪些资格和材料？,571,"Option A: 参加本市中招并具有本市高中阶段完整学习经历，提供父母一方的上海户籍证明和本人《上海市居住证》  
Option B: 只需提供父母一方上海户籍证明，无需居住证  
Option C: 需高中阶段完整学习经历和本人上海户籍证明  
Option D: 仅需参加本市中招并持有父母身份证  
Answer: A",答案：A
1716,应届生报考上海专科自主招生，若父母中一方属上海户籍，需具备哪些学习经历和提交哪些证件？,571,"Option A: 参加本市中招且具有高中阶段完整学习经历，提交父母一方户籍证明和本人《上海市居住证》  
Option B: 具有本市初中阶段完整学习经历，提交父母双方户籍证明  
Option C: 参加外省中招考试，提交父母一方工作证明和本人户口本  
Option D: 无学习经历要求，仅需提交父母户籍证明  
Answer: A",答案：A
1717,父母一方为上海户籍的非本地往届生报考专科自主招生，需要满足哪些条件？,572,"Option A: 列入2023年上海高考报名库即可  
Option B: 列入2023年上海高考报名库，并有父母户籍证明和本人居住证  
Option C: 仅需父母户籍证明和本人居住证  
Option D: 需父母双方均为上海户籍并提供居住证  
Answer: B",B
1718,2023年上海专科自主招生中，父母有本市户籍的非沪籍往届考生需提交什么证明？,572,"Option A: 父母一方的户籍证明  
Option B: 本人的《上海市居住证》  
Option C: 父母一方的户籍证明和本人的《上海市居住证》  
Option D: 父母房产证和出生证明  
Answer: C",C
1719,非上海户籍往届生若父母一方属本市常住户口，报考专科层次自主招生需具备哪些资格？,572,"Option A: 2023年列入本市高考报名库，并提供父母户口本  
Option B: 父母户籍证明和本人身份证  
Option C: 2023年列入本市高考报名库，父母户籍证明及本人上海市居住证  
Option D: 高中毕业证和父母工作证明  
Answer: C",答案：C
1720,父母一方被认定为驻沪机构工作人员的非沪籍应届生，报考专科自主招生需满足哪些学习经历条件？,573,"Option A: 只需参加本市中招考试  
Option B: 具有本市高中阶段完整学习经历即可  
Option C: 参加本市中招考试并具有完整高中阶段学习经历  
Option D: 需要提供相关证明材料  
Answer: C",C
1721,非本市户籍考生报考上海专科自主招生，若父母属驻沪机构人员，是否需要提交额外证明材料？,573,"Option A: 不需要  
Option B: 需要  
Option C: 视考生户籍情况而定  
Option D: 由父母单位提供证明  
Answer: A",答案：A
1722,驻沪机构工作人员的非沪籍子女报考专科自主招生，考生名单如何确认和下发？,573,"Option A: 由考生所在学校自行确定  
Option B: 由市教育考试院下发给各区  
Option C: 需要考生家长向驻沪机构申请  
Option D: 由各区教育局自主审核  
Answer: B",B
1723,非本市户籍往届生报考专科自主招生，若父母一方是上海认定的驻沪机构人员，需满足哪些报名条件？,574,"Option A: 需提供父母工作证明，列入2023年高考报名库  
Option B: 无需证明，列入2023年高考报名库  
Option C: 需学校自行处理名单，2023年高考报名库  
Option D: 需2022年高考报名库，无需证明  
Answer: B",答案：B
1724,驻沪机构工作人员的非沪籍往届生报考专科自主招生，是否需要提交相关证明材料？,574,"Option A: 需要  
Option B: 不需要  
Option C: 视情况而定  
Option D: 需额外申请  
Answer: B",B
1725,如何确定父母为驻沪机构工作人员的非本市户籍往届生是否符合专科自主招生报考资格？,574,"Option A: 考生需自行提供相关证明  
Option B: 需父母单位出具证明  
Option C: 由所在学校审核决定  
Option D: 名单由市教育考试院下达  
Answer: D",D
1726,在沪台湾同胞作为应届毕业生报考专科自主招生考试，需要提供哪些身份证明材料？,575,"Option A: 《台湾居民来往大陆通行证》（台胞证）  
Option B: 永久性居民身份证和《港澳居民来往内地通行证》  
Option C: 学生证和户籍证明  
Option D: 护照及在沪居住证  
Answer: A",A
1727,港澳永久居民应届生参加上海专科层次自主招生考试，需满足哪些证件要求？,575,"Option A: 永久性居民身份证和台胞证  
Option B: 永久性居民身份证和《港澳居民来往内地通行证》  
Option C: 《港澳居民来往内地通行证》和台胞证  
Option D: 香港身份证和台胞证  
Answer: B",B
1728,非上海户籍的港澳台应届生报考本市专科自主招生，资格条件包括哪些内容？,575,"Option A: 本市高中毕业和港澳台身份证  
Option B: 本市高中阶段学校毕业及港澳台通行证件  
Option C: 无需高中毕业，仅需港澳台通行证  
Option D: 非本市户籍需提供暂住证  
Answer: B",B
1729,港澳往届毕业生报考上海专科自主招生需提供哪些身份证明材料？,576,"Option A: 台湾居民来往大陆通行证  
Option B: 永久性居民身份证和港澳居民来往内地通行证  
Option C: 港澳学生证和居住证明  
Option D: 大陆户籍证明及毕业证书  
Answer: B",B
1730,台湾考生非上海户籍，报考专科层次自主招生需满足哪些条件？,576,"Option A: 本市高中阶段学校毕业即可，无需其他证明  
Option B: 需提供《台湾居民来往大陆通行证》，不要求本市高中毕业  
Option C: 本市高中阶段学校毕业且提供《台湾居民来往大陆通行证》  
Option D: 需香港永久性居民身份证和《港澳居民来往内地通行证》  
Answer: C",C
1731,非沪籍的港澳台往届生报考上海专科自主招生，学历和证件要求是什么？,576,"Option A: 本市高中阶段学校毕业；港澳生需永久性居民身份证和港澳通行证，台湾生需台胞证  
Option B: 外省高中毕业；港澳生仅需永久性居民身份证，台湾生无需证件  
Option C: 本市高中毕业且拥有上海户籍；港澳台生无需额外证明  
Option D: 本市初中阶段学校毕业；港澳台生需护照和居住证  
Answer: A",A
1732,外籍非沪籍应届生报考上海专科自主招生需要提供哪些证明材料？,577,"Option A: 护照和上海居住证  
Option B: 签发地为上海的《中华人民共和国外国人永久居留身份证》  
Option C: 户籍所在地的高中毕业证书  
Option D: 国外学历认证证明  
Answer: B",B
1733,在沪定居的外国学生报考专科层次依法自主招生需满足什么学历条件？,577,"Option A: 高中阶段学校毕业  
Option B: 初中阶段学校毕业  
Option C: 本科阶段学校毕业  
Option D: 无学历要求  
Answer: A",A
1734,持有上海签发永久居留证的外籍应届毕业生，申请专科自主招生需符合哪些要求？,577,"Option A: 仅需高中阶段学校毕业  
Option B: 高中阶段学校毕业且持有上海签发永久居留证  
Option C: 需上海户籍和高中阶段学校毕业  
Option D: 需大学本科毕业学历  
Answer: B",B
1735,外籍往届毕业生报考上海专科自主招生考试需要满足哪些条件和提供什么证明？,578,"Option A: 高中毕业；提供任何国家的永久居留身份证  
Option B: 高中毕业；提供签发地为上海的《中华人民共和国外国人永久居留身份证》  
Option C: 无需学历证明；提供上海居住证明  
Option D: 高中毕业；提供原籍国学历认证  
Answer: B",B
1736,持上海签发的外国人永久居留身份证的非本地户籍考生，报考专科层次自主招生需具备哪些资格？,578,"Option A: 高中阶段学校毕业即可，无需其他证明  
Option B: 高中阶段学校毕业且持有上海签发的《中华人民共和国外国人永久居留身份证》  
Option C: 拥有上海户籍且高中毕业  
Option D: 高中阶段学校毕业并持有任意地区的永久居留身份证  
Answer: B",B
1737,在沪定居的外国往届毕业生申请专科自主招生考试，学历和身份材料有何要求？,578,"Option A: 高中阶段学校毕业且持有签发地为上海的《中华人民共和国外国人永久居留身份证》  
Option B: 高中阶段学校毕业即可，无特殊身份证明要求  
Option C: 需本科学历及上海户籍证明  
Option D: 需初中毕业证书和护照  
Answer: A",A
1738,父母一方在本市博士后流动站工作的非本地户籍应届生，报考专科自主招生需满足什么条件？,579,"Option A: 高中毕业即可  
Option B: 提供市人社局证明即可  
Option C: 高中毕业且提供市人社局证明  
Option D: 由学校自主决定条件  
Answer: C",C
1739,非本市户籍考生若家长是本市在站博士后，参加专科自主招生需要哪些材料？,579,"Option A: 高中毕业证书  
Option B: 市人力资源社会保障局证明  
Option C: 父母身份证  
Option D: 不需要额外材料  
Answer: B",B
1740,本市博士后工作站在站人员子女为非本地户籍应届生，申请专科层次自主招生的资格要求是什么？,579,"Option A: 高中阶段学校毕业，需教育局证明  
Option B: 高中阶段学校毕业，需市人力资源社会保障局证明  
Option C: 无需毕业证明，需市人力资源社会保障局证明  
Option D: 需本市户籍和高中毕业证明  
Answer: B",B
1741,父母是本市博士后流动站在站人员的非户籍往届生，报考专科自主招生需满足哪些条件并提供什么证明？,580,"Option A: 高中阶段学校毕业，市人力资源社会保障局证明  
Option B: 初中阶段学校毕业，市人力资源社会保障局证明  
Option C: 高中阶段学校毕业，市教育局证明  
Option D: 高中阶段学校毕业，无需额外证明  
Answer: A",A
1742,非本市户籍考生若以父母在站博士后的身份报考专科自主招生，往届毕业生的学历要求和必要材料是什么？,580,"Option A: 高中阶段学校毕业；市人力资源社会保障局证明  
Option B: 初中阶段学校毕业；市教育局证明  
Option C: 高中阶段学校毕业；市教育局证明  
Option D: 不限学历；无需额外材料  
Answer: A",答案：A
1743,本市博士后工作站在站人员的非户籍子女作为往届生，申请专科自主招生需符合哪些资格及提交哪些文件？,580,"Option A: 高中阶段学校毕业，需提交市公安局证明  
Option B: 高中阶段学校毕业，需提交市人力资源社会保障局证明  
Option C: 初中阶段学校毕业，需提交市人力资源社会保障局证明  
Option D: 高中阶段学校毕业且持有本市居住证，需提交市人社局证明  
Answer: B",B
1744,梅山、大屯、鲁矿的上海后方基地职工非户籍子女，报考专科自主招生需满足哪些条件？,581,"Option A: 参加本市中招即可  
Option B: 具有本市高中阶段完整学习经历  
Option C: 参加本市中招且具有本市高中阶段完整学习经历  
Option D: 需提交相关证明并由学校审核  
Answer: C",C
1745,上海后方基地单位职工的非本地户籍应届生，报考专科自主招生是否需要提交额外证明材料？,581,"Option A: 不需要
Option B: 需要
Option C: 需提交单位证明
Option D: 需户籍所在地证明
Answer: A",C
1746,市教委如何确认上海后方基地单位职工子女的自主招生考试资格？,581,"Option A: 需要考生提交相关证明材料  
Option B: 由所在学校进行资格审核  
Option C: 直接锁定符合条件的学生名单  
Option D: 通过入学考试筛选资格  
Answer: C",答案：C
1747,往届非本市户籍的梅山、大屯、鲁矿上海后方基地职工子女报考专科自主招生，需符合哪些条件？,582,"Option A: 参加本市中招且有本市高中完整学习经历，无需证明，名单由教委锁定  
Option B: 需提供相关证明并由所在学校审核  
Option C: 具有本市户籍并完成高中阶段学习  
Option D: 应届毕业生且参加本市高考  
Answer: A",答案：A
1748,报考专科自主招生时，梅山等三地上海后方基地职工子女是否需要提交额外证明材料？,582,"Option A: 不需要  
Option B: 需要  
Option C: 视具体情况而定  
Option D: 需提供户籍证明  
Answer: A",A
1749,非本市户籍的往届毕业生报考专科自主招生，其资格如何由相关部门确认？,582,"Option A: 需提交户籍所在地的证明  
Option B: 由所在高中审核通过  
Option C: 通过学校统一报名自动确认  
Option D: 由市教委直接锁定学生名单  
Answer: D",A
1750,父母居住证积分未达标的非沪籍考生，其子女报考上海专科自主招生需满足哪些学籍条件？,583,"Option A: 被上海任何学校录取即可  
Option B: 未被中职学校录取但具有学籍  
Option C: 参加考试但未被录取  
Option D: 被本市中职学校录取并具有学籍的毕业生  
Answer: D",D
1751,居住证积分不足的非本市户籍考生子女报考上海专科自主招生，需要提供哪些证明材料？,583,"Option A: 社保缴纳证明和户口本  
Option B: 学籍证明和出生证明  
Option C: 持证人上海市居住证及持证人、考生的身份证  
Option D: 居住证积分达标通知书  
Answer: C",答案：C
1752,上海市教委对积分未达标居住证持有人子女的专科自主招生资格审核有什么特殊要求？,583,"Option A: 必须提供本市户籍证明  
Option B: 考生需通过全市统一的文化课考试  
Option C: 由市教委锁定学生名单  
Option D: 需连续缴纳社保满3年  
Answer: C",C
1753,非本市户籍往届毕业生报考专科自主招生时，需提供哪些证明材料？,584,"Option A: 持证人上海市居住证，身份证，毕业证书  
Option B: 户口本，身份证，录取通知书  
Option C: 上海市居住证，身份证，工作证明  
Option D: 毕业证书，社保缴纳记录，学生名单  
Answer: A",A
1754,持未达标积分上海居住证的往届生报考专科自主招生，需满足哪些资格条件？,584,"Option A: 未被本市中职学校录取的毕业生  
Option B: 参加本市中职自主招生考试并被录取且有学籍，提供居住证、身份证、毕业证书，且名单被市教委锁定  
Option C: 仅需提供上海市居住证和身份证  
Option D: 需具有上海市户籍并持有毕业证书  
Answer: B",B
1755,被上海中职学校录取的非沪籍往届毕业生报考专科层次自主招生考试，需要哪些审核材料？,584,"Option A: 考生本人户口本，学籍证明，毕业证书  
Option B: 持证人上海市居住证，持证人与考生的身份证，毕业证书  
Option C: 上海市社保缴纳记录，考生身份证，录取通知书  
Option D: 家长工作证明，考生毕业证书，学籍档案  
Answer: B",B
1756,非本市户籍的新疆、西藏中职班应届毕业生报考专科层次自主招生需满足哪些条件？,585,"Option A: 本市高中阶段完整学习经历且由市教委锁定名单  
Option B: 仅需本市高中阶段完整学习经历  
Option C: 仅需由市教委锁定名单  
Option D: 需户籍所在地教育部门批准  
Answer: A",A
1757,非本地户籍的新疆西藏中职班学生报考专科依法自主招生考试需要什么资格？,585,"Option A: 在本市高中阶段完整学习经历且被市教委锁定名单  
Option B: 提供户籍所在地教育部门证明  
Option C: 参加全国统一高考达到专科线  
Option D: 通过院校自主命题的入学测试  
Answer: A",答案：A
1758,非本市户籍的新疆西藏中职班应届生参加专科自主招生考试需符合哪些规定？,585,"Option A: 只需本市高中阶段完整学习经历  
Option B: 只需由市教委锁定学生名单  
Option C: 本市高中阶段完整学习经历并由市教委锁定名单  
Option D: 无需任何特殊条件  
Answer: C",C
1759,如果参加了专科自主招生，还能报考三校生高考吗？,586,"Option A: 可以  
Option B: 不可以  
Option C: 需学校批准  
Option D: 仅能参加其中一项  
Answer: A",A
1760,被专科层次自主招生录取的考生是否还能参加三校生高考？,586,"Option A: 不能  
Option B: 能  
Option C: 需申请批准  
Option D: 视录取结果而定  
Answer: A",答案：A
1761,专科自主招生和三校生高考的报考有冲突吗？,586,"Option A: 有冲突，不能同时报考
Option B: 没有冲突，可以同时报考
Option C: 由考生自行决定
Option D: 只有未被录取才能参加
Answer: B",B
1762,如果已经报名专科自主招生，还能继续参加秋季高考吗？,587,"Option A: 可以  
Option B: 不可以  
Option C: 取决于是否被录取  
Option D: 不确定  
Answer: A",C
1763,专科自主招生和秋季高考的报考是否存在冲突？,587,"Option A: 是，不能同时报考  
Option B: 否，但被录取后无法参加秋考  
Option C: 视具体情况而定  
Option D: 由考生自主选择  
Answer: B",B
1764,被专科自主招生院校录取后，是否会影响秋季高考的资格？,587,"Option A: 会影响，不能参加秋考  
Option B: 不会影响，仍可参加秋考  
Option C: 视具体情况而定  
Option D: 需要申请才能参加秋考  
Answer: A",A
1765,大学在籍学生是否有资格参加2024年的专科层次依法自主招生？,588,"Option A: 没有资格  
Option B: 有资格  
Option C: 视情况而定  
Option D: 需要进一步咨询  
Answer: A",A
1766,已被普通高校录取并保留入学资格的学生能否重新报考专科自主招生？,588,"Option A: 不能  
Option B: 可以  
Option C: 需学校批准  
Option D: 视情况而定  
Answer: A",B
1767,保留大学学籍的学生是否可以报名专科依法自主招生？,588,"Option A: 可以  
Option B: 不可以  
Option C: 视情况而定  
Option D: 需学校批准  
Answer: B",A
1768,非全日制成人高校学生若想通过2024年专科自主招生转入全日制学校，最晚何时需处理原学籍？,589,"Option A: 3月31日  
Option B: 3月30日  
Option C: 3月15日  
Option D: 4月1日  
Answer: B",B
1769,2024年专科自主招生中，成人高校在读生能否保留原学籍同时注册全日制学籍？,589,"Option A: 可以，只要在规定时间完成自主招生报名  
Option B: 不能，否则无法注册全日制学籍  
Option C: 可以，但需在9月前退出原学籍  
Option D: 取决于原学校的政策  
Answer: B",B
1770,参加2024年专科层次自主招生的成人高校学生，需在何时前完成哪些手续才能确保全日制入学资格？,589,"Option A: 2024年3月30日前办理完原学籍退学手续  
Option B: 2024年4月30日前提交报名申请  
Option C: 无需办理手续，直接报考即可  
Option D: 2024年3月15日前完成缴费即可  
Answer: A",答案：A
