问题,来源,mc,筛选后问答对_筛选后三元组
"""成人高校在读生能报全日制专科自主招生吗？需退学吗？""",589,"Option A: 能报，无需退学  
Option B: 不能报考  
Option C: 能报，但需在3月30日前退学  
Option D: 需先毕业才能报考  
Answer: C",C
"""请问目前就读于成人高校且符合2024年高考报名条件的考生，如果对非全日制学习模式不满意，是否允许通过专科层次依法自主招生转入全日制学校？若允许，原学籍处理流程和截止时间具体如何规定？""",589,"Option A: 允许，但须在2024年3月30日前办理原学籍退学手续
Option B: 允许，但须在2024年6月30日前办理原学籍退学手续
Option C: 不允许，学籍类型不可转换
Option D: 允许，无需处理原学籍
Answer: A",A
"""哎，我现在读的成人大学是非全日制的，实在不喜欢这种模式。如果明年想通过自主招生考个全日制专科，能行不？是不是得先把现在这个学校退掉啊？有没有退学的时间限制？""",589,"Option A: 可以报考，无需退学  
Option B: 可以报考，但需在2024年3月30日前退学  
Option C: 必须先退学才能报考，无时间限制  
Option D: 不能报考，只能继续读成人大学  
Answer: B",B
每年专科层次依法自主招生志愿填报的具体时间是什么时候？,590,"Option A: 3月1日9:00-21:00、3月2日9:00-15:00
    Option B: 3月5日9:00-3月7日15:00
    Option C: 3月10日-3月12日每天9:00-15:00
    Option D: 3月8日9:00-21:00、3月9日9:00-15:00
    Answer: D",D
专科自主招生志愿填报时间？,590,"Option A: 3月7日9:00-21:00、3月8日9:00-15:00  
Option B: 3月8日9:00-21:00、3月9日9:00-15:00  
Option C: 3月9日10:00-22:00、3月10日9:00-15:00  
Option D: 4月8日9:00-21:00、4月9日9:00-15:00  
Answer: B",B
每年专科层次依法自主招生志愿填报的时间安排是怎样的？考生需要通过哪些官方渠道获取最新通知？例如2024年的填报日期是哪天？,590,"Option A: 时间安排在3月初，考生需通过“上海招考热线”网站获取通知，2024年填报日期为3月8日-9日  
Option B: 时间安排在4月中旬，考生需通过学校官网获取通知，2024年填报日期为4月10日-11日  
Option C: 时间安排在3月，考生需通过“上海招考热线”的高考学考栏目获取通知，2024年填报日期为3月8日9:00-21:00和3月9日9:00-15:00  
Option D: 时间不固定，考生需关注当地教育部门公告，2024年填报日期尚未公布  
Answer: C",C
专科自主招生填志愿一般几月份开始啊？今年是不是3月8号那会儿？,590,"Option A: 一般3月，今年是的  
Option B: 一般3月，今年不是  
Option C: 一般4月，今年是的  
Option D: 一般4月，今年不是  
Answer: A",A
专科自主招生考试的具体时间安排是什么？,591,"Option A: 每年3月1日
Option B: 以准考证上的信息为准
Option C: 每年4月下旬
Option D: 由考生自行决定
Answer: B",B
专科自招考试时间？,591,"Option A: 3月1日  
Option B: 3月下旬  
Option C: 4月5日  
Option D: 由各校自主决定  
Answer: B",B
各专科院校自主招生的考试通常安排在每年的什么时间段？2024年的具体考试日期和开始时间是什么时候？,591,"Option A: 3月中旬；2024年3月24日9:00  
Option B: 3月下旬；2024年3月24日9:00  
Option C: 3月下旬；2024年3月23日8:30  
Option D: 4月上旬；2024年4月1日8:30  
Answer: C",C
哎，专科自主招生考试啥时候考啊？今年是3月23号吗？,591,"Option A: 是的，每年都是3月23日  
Option B: 是的，但仅限2024年  
Option C: 不是，每年时间不同  
Option D: 不是，通常在3月下旬但今年例外  
Answer: B",C
"""请问准考证的下载时间及下载方式是什么？""",592,"Option A: 随时在官网下载，无需公告  
Option B: 关注志愿院校的公告，按公告信息为准  
Option C: 联系学校老师直接获取  
Option D: 考试当天现场领取  
Answer: B",B
"""准考证下载时间和方法？""",592,"Option A: 由考生自行在官网下载，时间不固定  
Option B: 根据志愿院校公告确定  
Option C: 考试前一周统一开放下载  
Option D: 无需下载，直接联系学校获取  
Answer: B",B
"""我已经完成报名并缴费成功，请问何时可以下载准考证？具体的下载步骤是怎样的？是否需要通过特定渠道获取？""",592,"Option A: 随时登录考试官网下载，步骤简单，无需特定渠道  
Option B: 缴费后立即自动生成，需联系客服获取  
Option C: 查看志愿院校的公告获取时间和下载步骤，需按照公告指定渠道获取  
Option D: 考试前一周由学校统一发放纸质准考证  
Answer: C",C
"""准考证啥时候能下载啊？具体咋操作？是不是得看学校通知？""",592,"Option A: 不需要，直接登录官网下载
Option B: 缴费后自动发送到邮箱
Option C: 是的，需查看志愿院校公告
Option D: 由考试中心统一通知
Answer: C",C
"""专科自主招生考试的负责机构是上海教育考试院吗？""",593,"Option A: 否  
Option B: 是  
Option C: 部分院校由考试院负责  
Option D: 暂不明确  
Answer: A",A
"""专科自主招生考试由谁负责？""",593,"Option A: 上海教育考试院  
Option B: 各院校组织  
Option C: 教育部  
Option D: 省级教育部门  
Answer: B",B
"""上海教育考试院是否参与专科自主招生的组织和实施？这类考试的具体管理单位是什么？""",593,"Option A: 参与，由上海教育考试院统一管理  
Option B: 不参与，由各院校组织  
Option C: 部分参与，由考试院和院校共同管理  
Option D: 不确定，需要咨询当地教育局  
Answer: B",A
"""哎，专科自主招生是不是上海教育考试院在管啊？对吧？""",593,"Option A: 不是  
Option B: 是  
Option C: 看情况  
Option D: 我不知道  
Answer: A",B
专科层次依法自主招生的志愿填报是在考试之前进行还是在考试之后进行？,594,"Option A: 考试之前进行  
Option B: 考试之后进行  
Option C: 考试前和考试后均可  
Option D: 由考生自行决定  
Answer: A",A
专科自主招生先填志愿还是先考试？,594,"Option A: 先填志愿  
Option B: 先考试  
Option C: 同步进行  
Option D: 随机安排  
Answer: A",A
在专科层次的依法自主招生流程中，志愿填报的具体时间节点是怎样的？是否需要在参加考试前完成志愿提交，还是考试结束后再填报？,594,"Option A: 需要在参加考试前完成志愿提交  
Option B: 考试结束后再填报志愿  
Option C: 考试前后均可自由选择填报时间  
Option D: 由各校自行决定填报时间节点  
Answer: A",答案：A
专科那个自主招生，志愿得先填完再考试对吧？,594,"Option A: 是的  
Option B: 不是，先考试再填志愿  
Option C: 考试和志愿同时进行  
Option D: 由学校自行决定顺序  
Answer: A",A
"""考生最多可以填报几个院校志愿和专业志愿？具体要求是什么？""",595,"Option A: 1所院校志愿和4个专业志愿，不可兼报类型且须勾选调剂  
Option B: 1所院校志愿和5个专业志愿，可自由兼报  
Option C: 2所院校志愿和4个专业志愿，无需勾选调剂  
Option D: 不限院校志愿，限4个专业志愿  
Answer: A",A
"""志愿填报数量上限？""",595,"Option A: 1所院校  
Option B: 4个专业  
Option C: 1所院校和4个专业  
Option D: 不限数量  
Answer: A",C
"""在填报志愿时，院校和专业的数量限制分别是多少？是否允许同时填报普通专业和艺体类专业？是否需要选择服从调剂？""",595,"Option A: 1所院校，4个专业；不允许；需要选择  
Option B: 2所院校，3个专业；允许；不需要选择  
Option C: 1所院校，6个专业；允许；需要选择  
Option D: 1所院校，4个专业；允许；不需要选择  
Answer: A",C
"""填志愿的时候，最多能选几个学校和专业？能混着报普通和艺体类的吗？还要选服从调剂吗？""",595,"Option A: 1个学校，最多4个专业，可以混合报普通和艺体类，必须服从调剂  
Option B: 1个学校，最多4个专业，不能混合报普通和艺体类，必须选择是否服从调剂  
Option C: 多个学校，最多4个专业，不能混合报普通和艺体类，不需要服从调剂  
Option D: 1个学校，不限专业数量，可以混合报普通和艺体类，必须服从调剂  
Answer: B",B
如何查询上海市专科自主招生的院校及专业信息？,596,"Option A: 访问“上海招考热线”网站高考学考栏目查看公告附件
Option B: 登录教育部官网搜索相关院校信息
Option C: 直接联系各高校招生办获取手册
Option D: 通过电话咨询上海市教育考试院查询
Answer: A",A
上海专科自主招生院校和专业哪里找？,596,"Option A: “上海招考热线”网站—高考学考—专科自主招生栏目查看公告附件  
Option B: 各院校官方网站招生页面  
Option C: 上海市教育委员会官网  
Option D: 中国教育在线平台  
Answer: A",A
作为考生，我应该通过哪些官方渠道获取2024年上海市专科自主招生的院校名单及相关专业目录？,596,"Option A: 访问“上海招考热线”网站（www.shmeea.edu.cn），进入高考学考-专科自主招生栏目查看相关公告附件  
Option B: 通过上海市各高校的官方网站直接查询  
Option C: 关注教育部官方教育平台发布的信息  
Option D: 在社交媒体平台如微博、微信公众号搜索最新资讯  
Answer: A",A
上海专科自主招生的学校和专业去哪查啊？有没有官网可以直接看？,596,"Option A: 在“上海招考热线”网站的高考学考—专科自主招生栏目查公告附件
Option B: 各招生院校的官方网站直接查看
Option C: 教育部阳光高考平台统一发布
Option D: 需到市教育考试院线下咨询
Answer: A",答案：A
"""请问专科自主招生是否仅限于上海的院校？""",597,"Option A: 不是  
Option B: 是  
Option C: 部分省份有  
Option D: 全国都有  
Answer: B",B
"""专科自主招生院校全是上海的吗？""",597,"Option A: 不是  
Option B: 是  
Option C: 部分省市有  
Option D: 不清楚  
Answer: B",B
"""目前国内哪些地区的院校可以开展专科自主招生？是否只有上海的高校具备这一资格？""",597,"Option A: 全国多个地区都有资格  
Option B: 仅上海  
Option C: 上海和北京共同开展  
Option D: 由各省级教育部门自行决定  
Answer: B",B
"""哎，专科自主招生的学校是不是只有上海有啊？""",597,"Option A: 不是  
Option B: 是的  
Option C: 部分省市有  
Option D: 不清楚  
Answer: B",B
"""专科层次依法自主招生是否包含艺术类专业？""",598,"Option A: 有  
Option B: 没有  
Option C: 部分院校有  
Option D: 不确定  
Answer: A",A
"""专科自主招生有艺术专业吗？""",598,"Option A: 有  
    Option B: 没有  
    Option C: 看报考时间  
    Option D: 只能报一般专业  
    Answer: A",A
"""在专科层次的依法自主招生中，学生是否可以报考艺术类专业？报考时有哪些志愿填报的限制条件？""",598,"Option A: 可以报考，且艺体类专业和一般专业志愿可以兼报  
Option B: 可以报考，但艺体类专业和一般专业志愿不能兼报  
Option C: 不能报考艺术类专业  
Option D: 可以报考，但仅限笔试科目通过的学生  
Answer: B",B
"""专科自主招生里有没有艺术专业啊？能跟普通专业一起报不？""",598,"Option A: 有艺术专业，可以一起报  
Option B: 有艺术专业，不能一起报  
Option C: 没有艺术专业，不能一起报  
Option D: 没有艺术专业，可以一起报  
Answer: B",B
在报名阶段，如果发现志愿填报有误，是否允许进行修改？,599,"Option A: 不允许
    Option B: 允许
    Option C: 需提交申请后修改
    Option D: 仅能修改一次
    Answer: B",B
志愿填错能改吗？,599,"Option A: 不能  
Option B: 能  
Option C: 需申请特殊处理  
Option D: 不确定  
Answer: B",C
如果在志愿填报期间不小心填错了志愿信息，考生是否还有机会修正？修改的截止时间是什么时候？,599,"Option A: 有机会修正，截止时间为志愿填报期结束后  
Option B: 有机会修正，截止时间为志愿填报期间内  
Option C: 不能修正，需联系招生办处理  
Option D: 不能修正，系统自动锁定信息  
Answer: B",B
哎呀，志愿填错了，报名结束前还能改吗？,599,"Option A: 能修改  
Option B: 不能修改  
Option C: 需要申请批准  
Option D: 只能修改一次  
Answer: A",A
专科自主招生的录取结果何时在各院校网站公布？,600,"Option A: 统一在考试后一周公布  
Option B: 由各院校自行确定并公告  
Option C: 每年的6月1日  
Option D: 通过电话通知  
Answer: B",B
专科录取结果查询时间？,600,"Option A: 考试结束后一周  
Option B: 由各院校公布的时间决定  
Option C: 全国统一时间  
Option D: 在教育局网站查询  
Answer: B",B
请问专科自主招生录取结果的具体查询时间是哪一天？是否需要通过各院校的官方网站查看？,600,"Option A: 有具体日期，不需要通过各院校官网  
Option B: 有具体日期，需要通过各院校官网  
Option C: 没有具体日期，需要查看各院校官网公告  
Option D: 没有具体日期，不需要通过官网  
Answer: C",C
哎，专科录取结果到底啥时候能查啊？得看学校官网吗？,600,"Option A: 是的，需在各院校官网查询，具体时间关注其公告  
Option B: 不需要，由教育考试院统一公布  
Option C: 时间固定，请等待通知  
Option D: 无法确定，需咨询教育局  
Answer: A",A
专科自主招生是否设有征求志愿？如果有，通常有几次？,601,"Option A: 没有  
Option B: 有，一次  
Option C: 有，两次  
Option D: 有，三次  
Answer: C",C
专科自主招生有几次征求志愿？,601,"Option A: 一次  
Option B: 两次  
Option C: 三次  
Option D: 不确定  
Answer: B",B
在专科自主招生过程中，如果考生第一次志愿未被录取，是否还有征求志愿的机会？通常可以填报几次？,601,"Option A: 否，通常只能填报一次  
    Option B: 是，通常可以填报两次  
    Option C: 否，没有机会再次填报  
    Option D: 是，但次数由学校决定  
    Answer: B",B
专科自主招生要是没录上，还能再填征求志愿吗？一般能填几次啊？,601,"Option A: 不能填  
Option B: 两次  
Option C: 一次  
Option D: 三次  
Answer: B",B
上海市专科自主招生征求志愿的具体填报时间及查询渠道是什么？,602,"Option A: 在“上海招考热线”网站的高考学考栏目下查看，第一次4月2日9:00-15:00，第二次4月5日9:00-14:00  
Option B: 在“上海招考热线”网站的招生信息栏目下查看，第一次4月1日9:00-12:00，第二次4月4日13:00-16:00  
Option C: 通过电话咨询，第一次4月2日，第二次4月5日  
Option D: 在“上海招考热线”网站的高考学考—专科自主招生栏目查看，第一次4月2日9:00-15:00，第二次4月5日9:00-14:00  
Answer: D",D
专科征求志愿填报时间？,602,"Option A: 第一次在4月1日，第二次在4月5日  
Option B: 第一次在4月2日，第二次在4月5日  
Option C: 第一次在4月2日，第二次在4月6日  
Option D: 第一次在4月3日，第二次在4月5日  
Answer: B",B
2024年上海市专科自主招生征求志愿的两次填报分别安排在何时？考生应通过哪些官方途径获取具体通知？,602,"Option A: 4月1日和4月4日，通过上海市教育局公众号  
Option B: 4月2日9:00-15:00和4月5日9:00-14:00，通过上海招考热线网站的高考学考-专科自主招生栏目  
Option C: 4月3日与4月6日，通过学校教务处通知  
Option D: 4月2日全天和4月5日全天，通过招生院校官网  
Answer: B",B
上海专科的征求志愿填报是几号啊？在哪儿能查到准确时间？,602,"Option A: 4月2日和4月5日，通过学校教务处通知  
Option B: 4月2日和4月5日，在“上海招考热线”网站的高考学考—专科自主招生栏目查看公告  
Option C: 4月3日和4月5日，在上海市教育考试院官网查询  
Option D: 4月2日和4月6日，拨打招生办电话确认  
Answer: B",B
"""请问征求志愿的填报入口具体位于哪个网站？""",603,"Option A: 上海招考热线（www.shmeea.edu.cn）  
Option B: 中国教育考试网（www.neea.edu.cn）  
Option C: 上海教育考试院（www.shmeea.com）  
Option D: 上海市教育委员会（edu.sh.gov.cn）  
Answer: A",A
"""志愿填报入口是哪个？""",603,"Option A: 上海教育考试院官网（www.shrsks.edu.cn）
Option B: 中国高等教育学生信息网（www.chsi.com.cn）
Option C: ""上海招考热线""网站（www.shmeea.edu.cn）
Option D: 国家教育部官网（www.moe.gov.cn）
Answer: C",C
"""作为上海考生，如果想在规定时间内填报征求志愿，应该通过哪个官方网站的哪个模块进行操作？""",603,"Option A: 上海教育考试院官网的“考试报名”模块  
Option B: 上海招考热线网站的“志愿填报”模块  
Option C: 上海招考热线网站的“考生服务”模块  
Option D: 上海市教育委员会官网的“招生信息”模块  
Answer: B",B
"""哎，填志愿那个网站是啥来着？得从哪儿点进去啊？""",603,"Option A: “上海招考热线”网站（www.shmeea.edu.cn），首页—志愿填报  
Option B: 中国教育考试网（www.neea.edu.cn），考生服务栏目  
Option C: 上海市教育考试院官网（www.shmeea.com.cn），报名系统  
Option D: 直接登录教育部官网（www.moe.gov.cn）  
Answer: A",A
请问如何查询专科自主招生征求志愿的录取结果？,604,"Option A: 在各院校的网站上查询  
Option B: 在教育部官网查询  
Option C: 通过电话直接询问考试院  
Option D: 到当地教育局现场查询  
Answer: A",答案：A
专科征求志愿录取结果查询渠道？,604,"Option A: 各院校网站  
Option B: 教育考试院官网  
Option C: 学校公告栏  
Option D: 电子邮件通知  
Answer: A",A
作为专科自主招生考生，如果想查询征求志愿阶段的录取结果，应该通过什么途径获取相关信息？,604,"Option A: 各院校的网站  
Option B: 省教育考试院官网  
Option C: 拨打院校招生电话  
Option D: 教育部阳光高考平台  
Answer: A",答案：A
专科征求志愿的录取结果该去哪儿查啊？是不是还得看学校官网？,604,"Option A: 不需要，统一在教育考试院查
Option B: 是的，必须查看学校官网
Option C: 可以通过电话咨询获取
Option D: 由教育局统一公布
Answer: B",B
"""在普通高中学业水平合格性考试中，若存在一门或部分科目成绩未合格的情况，是否仍符合‘成绩齐全’的标准？""",605,"Option A: 符合  
Option B: 不符合  
Option C: 视情况而定  
Option D: 无法确定  
Answer: A",B
"""合格考有科目不及格算成绩齐全吗？""",605,"Option A: 不属于  
Option B: 属于  
Option C: 需要补考后才算  
Option D: 视学校规定而定  
Answer: B",A
"""普通高中学业水平合格性考试中，如果考生部分科目未通过，但其他科目均合格，这种情况下整体成绩是否会被认定为齐全？其判定依据是什么？""",605,"Option A: 是的，依据是官方政策允许部分科目未通过仍视为成绩齐全。
Option B: 不是，必须所有科目合格才能认定为成绩齐全。
Option C: 是的，但需补考合格后方可认定。
Option D: 不是，依据是考生未完成全部科目考试。
Answer: A",B
"""合格考要是有一科挂了，那还能叫成绩齐全吗？""",605,"Option A: 不能  
Option B: 能  
Option C: 视情况而定  
Option D: 不确定  
Answer: B",A
专科自主招生的录取规则具体如何针对不同考生身份制定？,606,"Option A: 所有考生均采用统一入学测试和职业技能测试  
Option B: 根据考生身份类型采用不同的测试组合，如学业成绩与职业测试或文化素质与技能测试等  
Option C: 仅考虑学业成绩，不考虑其他因素  
Option D: 所有考生必须参加职业适应性测试和文化素质测试  
Answer: B",B
专科自主招生录取规则是什么？,606,"Option A: 所有考生均采用统一入学测试成绩和职业技能测试成绩结合录取  
Option B: 只依据考生的学业水平合格性考试成绩录取  
Option C: 以综合素质评价信息为唯一录取标准  
Option D: 针对考生不同身份制定不同录取规则  
Answer: D",D
专科自主招生对高中应届生、中职应届生、往届毕业生及其他社会人员的录取规则有何差异？具体测试方式和成绩占比如何规定？,606,"Option A: 高中应届生使用学业水平成绩和职业适应性测试，比例固定为7:3；中职应届生采用校考成绩；往届生采用统一测试，占比由考生自选  
Option B: 所有考生均采用统一入学测试和职业技能测试，成绩各占50%；艺体类由考生选择比例  
Option C: 高中应届生和中职应届生测试方式相同；往届生必须参加校考；社会人员免试入学  
Option D: 高中应届生测试成绩比例由院校自主确定；中职应届生成绩直接合成；往届生总分直接合成（艺体类比例院校自定）  
Answer: D",D
专科自主招生录取有啥不同啊？比如高中生和中职生要求一样吗？,606,"Option A: 完全一样，都采用统一入学测试和职业技能测试  
Option B: 不一样，高中生使用学业水平成绩和职业适应性测试，中职生使用文化素质测试和职业技能测试  
Option C: 部分相同，高中生和中职生均需参加职业适应性测试  
Option D: 仅退役军人录取规则不同，其他考生要求一致  
Answer: B",B
"""请说明高中学业水平考试的分类及其对应的考试科目。""",607,"Option A: 合格性考试科目为思想政治、历史、地理、物理、化学、生物学；等级性考试科目为语文、数学、外语、信息技术  
Option B: 所有科目都包含在合格性考试中，等级性考试只考信息技术  
Option C: 合格性考试科目为语文、数学、外语、思想政治、历史、地理、物理、化学、生物学、信息技术；等级性考试科目为思想政治、历史、地理、物理、化学、生物学  
Option D: 合格性考试和等级性考试都包含完全相同的考试科目  
Answer: C",C
"""高中学业水平考试考什么？""",607,"Option A: 只有语文、数学等合格性考试科目  
Option B: 合格性考试和等级性考试的相关科目  
Option C: 所有科目均为等级性考试科目  
Option D: 仅信息技术和外语两科  
Answer: B",B
"""高中学业水平考试分为哪几种类型？它们的科目设置分别包括哪些学科？""",607,"Option A: 分为合格性考试和等级性考试，合格性考试科目包括语文、数学、外语等10个学科，等级性考试科目包括思想政治、历史等6个学科  
Option B: 分为理论考试和实操考试，理论科目包括语文、数学，实操科目包括物理、化学  
Option C: 分为文科综合和理科综合，文科包含历史、地理，理科包含物理、化学  
Option D: 只有合格性考试一种类型，涵盖全部高中学科  
Answer: A",A
"""高中学业水平考试都考哪些科目啊？听说还分合格考和等级考，具体有啥区别？""",607,"Option A: 合格性考试包含语文、数学等10科，等级性考试包含政史地理化生6科，区别是科目数量和类型不同  
Option B: 两类考试科目完全相同，区别只在于分数计算方式  
Option C: 合格性考试包含政史地理化生6科，等级性考试包含语数外等10科，区别是考试难度  
Option D: 两类考试均包含所有科目，区别在于是否允许补考  
Answer: A",答案：A
哪些人员具备报考合格性考试的资格？,608,"Option A: 本市普通高中在籍学生  
Option B: 年满18周岁且有高中学历的社会人员  
Option C: 本市普通高中在籍学生、其他学校学生、年满18岁或有初中证书的社会人员及外籍学生  
Option D: 仅限取得高中毕业证书的人员  
Answer: C",C
合格考报名条件有哪些？,608,"Option A: 仅本市普通高中在籍生和其他高中在校生  
Option B: 所有年满18周岁的社会人员均可报名  
Option C: 本市普通高中在籍生、其他高中在校生、年满18岁或初中毕业的社会人员及外籍学生  
Option D: 必须具有本市户籍的普通高中学生  
Answer: C",C
请问报考合格性考试的具体人群范围是什么？是否包括普通高中在校生、社会人员以及外籍学生？,608,"Option A: 包括普通高中在校生和社会人员，不包括外籍学生  
Option B: 包括普通高中在校生、社会人员及外籍学生  
Option C: 仅包括普通高中在校生  
Option D: 仅包括社会人员  
Answer: B",B
哎，合格考哪些人能报啊？比如没上高中的社会人士能考吗？,608,"Option A: 不能，必须具有高中学籍  
Option B: 能，只要年满18岁或初中毕业即可  
Option C: 能，但必须持有高中毕业证  
Option D: 不能，仅限在校学生  
Answer: B",B
本市普通高中在籍学生如何报考高中学业水平考试？报名时间和流程有哪些具体规定？,609,"Option A: 通过学籍所在学校集体报名，具体时间由学校安排，每年两次报名通常在3-4月和11-12月  
Option B: 自行网上报名，报名时间为每年3月和11月的固定日期  
Option C: 需到教育局现场报名，时间由教育局统一公布  
Option D: 由班主任统一代办，时间由班级内部决定  
Answer: A",答案：A
高中在籍生怎么报名学业考试？,609,"Option A: 个人网上自主报名  
Option B: 通过学籍所在学校集体报名  
Option C: 到当地教育局现场报名  
Option D: 由班主任统一代报  
Answer: B",B
作为本市普通高中的在籍在读学生（非外籍），若想参加高中学业水平考试，是否需要通过学校统一报名？如果学校不组织集体报名，学生自行报名的具体时间段和政策依据是什么？,609,"Option A: 不需要，学生可自行随时报名，具体依据学校通知  
Option B: 需要，自行报名时间为每年5月至6月和9月至10月，政策以学校安排为准  
Option C: 需要，自行报名时间为每年3月至4月和11月至12月，具体时间及政策以发布的报名文件为准  
Option D: 不需要，自行报名时间由学校统一安排，政策以学生个人情况为准  
Answer: C",C
哎，我是普通高中的学生，想报学业水平考试该咋办啊？必须让学校统一报名吗？要是学校让我自己弄，该什么时候去报？,609,"Option A: 必须由学校统一报名，无法自己报名  
Option B: 可以自行在3-4月或11-12月报名  
Option C: 必须由学校统一报名，若学校允许自己报名则在指定时间段报考  
Option D: 随时可在考试官网自主报名  
Answer: C",C
其他考生应如何完成高中学业水平考试的网上报名流程？,610,"Option A: 通过所在学校直接报名  
Option B: 登录上海市教育考试院官网首页的“成绩查询”栏目报名  
Option C: 登录“上海招考热线”网站首页的“考试报名”栏目报名  
Option D: 需携带材料到指定地点进行线下报名  
Answer: C",答案：C
高中学业水平考试怎么报名？,610,"Option A: 登录上海招考热线网站，在“考试报名”栏目进行网上报名  
Option B: 携带材料到上海市教育考试院现场报名  
Option C: 拨打考试院电话进行电话报名  
Option D: 由所在高中统一组织报名  
Answer: A",D
非本校考生若想参加上海市高中学业水平考试，具体的报名时间、操作步骤以及官方网站入口是什么？,610,"Option A: 在指定时间内登录上海市教育考试院“上海招考热线”网站（www.shmeea.edu.cn），通过首页“考试报名”栏目报名
Option B: 随时访问上海市教育局官网（www.sh-edu.gov.cn）在线注册报名
Option C: 通过所在学校教务处统一组织报名，无需自行操作
Option D: 考试前1周直接到上海市教育考试院现场报名
Answer: A",答案：A
哎，其他同学想报名高中学考的话，得咋操作啊？是直接上网搞定的吗？,610,"Option A: 是的，需要登录指定网站进行网上报名
Option B: 不是，需要到教育考试院现场报名
Option C: 需要学校统一组织报名
Option D: 必须通过电话预约报名
Answer: A",答案：A
高中学业水平考试完成报名后，是否必须进行类似高考的正式报考确认流程？,611,"Option A: 不需要  
Option B: 必须  
Option C: 仅在线上报名时需要  
Option D: 由考生自主选择  
Answer: B",B
高中学考报名后需确认吗？,611,"Option A: 不需要  
Option B: 必须确认  
Option C: 仅部分考生需要  
Option D: 视学校政策而定  
Answer: B",B
高中学业水平考试报名成功后，在籍学生和其他社会考生分别需要通过哪些步骤进行报考确认？具体确认流程和材料要求是什么？,611,"Option A: 在籍学生需自行网上确认，其他考生无需确认，直接报名有效  
Option B: 在籍学生由学校组织确认；其他考生需与家长持有效证件和初中毕（结）业证书到区招考机构现场确认  
Option C: 所有考生均需到区招考机构现场确认，并提交高中毕业证书  
Option D: 在籍学生和其他考生均只需网上确认，无需提供材料  
Answer: B",B
哎，高中学考报完名之后是不是还得像高考那样再确认一遍啊？不确认会作废吗？,611,"Option A: 不需要确认，报名仍然有效  
Option B: 必须进行确认，否则报名作废  
Option C: 仅社会考生需要确认  
Option D: 各校可自行决定是否确认  
Answer: B",B
请问在本市高中学业水平考试报名过程中，考生登录时应使用有效证件号还是学业报名号？如何确定首次与往届考生的身份验证方式？,612,"Option A: 首次考生使用有效证件号，往届考生使用报名号  
Option B: 首次考生使用报名号，往届考生使用有效证件号或报名号  
Option C: 首次考生需注册并获取报名号，往届考生使用有效证件号或已有报名号登录  
Option D: 首次和往届考生均使用报名号登录  
Answer: C",答案：C
报名用身份证号还是报名号？,612,"Option A: 身份证号  
Option B: 报名号  
Option C: 两者都可以  
Option D: 不确定  
Answer: C",答案：A
作为首次参加本市高中学业水平考试的考生，是否需要先注册获取报名号？已参加过考试的考生登录时是否可以使用之前的证件号，还是必须用报名号？若个人信息有变更应如何处理？,612,"Option A: 需要注册，可以使用之前的证件号，直接在线修改信息  
Option B: 不需要注册，必须使用报名号，需联系学校处理  
Option C: 需要注册，可用证件号或报名号，需向区招考机构提交变更申请和证明  
Option D: 不需要注册，只能用报名号，无法更改个人信息  
Answer: C",答案：C
哎，报名登录到底填身份证号还是那个报名号啊？第一次报和以前报过的有啥不一样吗？,612,"Option A: 首次报名用身份证号，已报过的用报名号  
Option B: 首次报名用报名号，已报过的用身份证号  
Option C: 两者均可，不管是否首次  
Option D: 首次报名必须注册后登录，已报过的用身份证号  
Answer: C",答案：A
6月高中学业水平合格性考试包含哪些科目？各年级学生的报考要求分别是什么？,613,"Option A: 科目为6门，包括思想政治、历史、地理、物理、化学、生物学；高一学生可报考所有科目，高二学生只能报考信息技术  
Option B: 科目为7门（思想政治、历史、地理、物理、化学、生物学、信息技术）；高一学生只能报考信息技术，高二、高三学生可报考全部科目  
Option C: 科目为5门，包括思想政治、历史、地理、物理、化学；所有年级学生均可自由报考  
Option D: 科目为7门，但高一学生可报考任意3门，高二学生需报考全部科目  
Answer: B",答案：B
6月合格考科目及报考条件？,613,"Option A: 科目为6门，本市普通高中在籍生自愿报考
    Option B: 科目为7门，本市高中在籍生必须报考，高一仅能报信息技术
    Option C: 科目为7门，所有年级均可自由选择报考科目
    Option D: 科目为7门，休学学生可正常参加报考
    Answer: B",B
今年6月的高中合格性考试具体开设哪些考试科目？高一、高二、高三学生分别能报考哪些科目？是否存在禁止报考的特殊情况？,613,"Option A: 开设6门科目，高一可报思想政治，高二高三可报其他科目，休学学生可报考  
Option B: 开设7门科目（思想政治、历史等），高一仅信息技术，高二高三可报全部，休学学生禁止报考  
Option C: 开设7门科目，所有年级均可自由报考，无禁止情况  
Option D: 开设5门科目，高一可报物理，高二高三可报化学、生物，休学学生需申请  
Answer: B",B
哎，六月份那个高中合格考都考哪些科目啊？高一的和高二高三的报名要求有啥不一样吗？,613,"Option A: 高一可报两门，高二高三可报七门  
Option B: 高一只能报信息技术，高二高三可报七门  
Option C: 高一可报四门，高二高三可报七门  
Option D: 高一不能报考，高二高三可报六门  
Answer: B",B
1月高中学业水平合格性考试具体包括哪些科目？,614,"Option A: 语文、数学、外语、物理、化学、生物学  
Option B: 语文、数学、外语、思想政治、历史、地理  
Option C: 语文、数学、外语、思想政治、历史、地理、物理、化学、生物学  
Option D: 语文、数学、外语、信息技术、体育、艺术  
Answer: C",C
